tournament,fristPlayer,secondPlayer,headToHeadFirst,headToHeadSecond,resultFirst,resultSecond,date
Barcelona,Nadal R. (1),Tsitsipas S. (2),7,2,,,04/25/2021
Belgrade,Karatsev A. (3),Berrettini M. (2),0,0,,,04/25/2021
Tallahassee chall.,Brooksby J.,Fratangelo B.,0,1,,,04/25/2021
Rome 2 challenger,Pellegrino A.,Gaston H. (5),,,2,1,04/25/2021
Futures 2021,Guinard M.,Catarina L.,,,2,0,04/25/2021
Futures 2021,Negritu C.,Marcondes I.,,,2,0,04/25/2021
Futures 2021,Heyman C.,Marozsan F.,,,2,1,04/25/2021
Futures 2021,Crawford O.,Michalski D.,,,2,1,04/25/2021
Futures 2021,Setkic A.,Pichler D.,,,2,0,04/25/2021
UTR Pro Tennis Series,Jasika O.,Ma W.,2,0,,,04/25/2021
UTR Pro Tennis Series,Beale J.,Jones S.,0,0,,,04/25/2021
UTR Pro Tennis Series,Jasika O.,Jones S.,0,0,,,04/25/2021
UTR Pro Tennis Series,Sweeny D.,McCabe J.,,,2,0,04/25/2021
UTR Pro Tennis Series,Schoolkate T.,McCabe J.,1,0,,,04/25/2021
UTR Pro Tennis Series,Addison A.,Mehrotra A.,1,0,,,04/25/2021
UTR Pro Tennis Series,Hoole C.,Puttergill C.,1,3,,,04/25/2021
Estoril,Borges N.,Carballes Baena R. (2),,,2,0,04/25/2021
Estoril,Martinez P. (4),Huesler M.,,,2,0,04/25/2021
Estoril,Alcaraz C. (6),Taberner C.,,,2,0,04/25/2021
Estoril,Munar J. (1),Silva F.,0,0,,,04/25/2021
Futures 2021,Tanner G.,Syed Naguib S.,0,0,,,04/25/2021
Futures 2021,Pietri B.,Vasiliauskas M.,0,0,,,04/25/2021
Futures 2021,Thirouin J.,Moraing O.,0,0,,,04/25/2021
Futures 2021,Sakellaridis M.,Rizzuti G.,0,0,,,04/25/2021
Futures 2021,Larwig N.,Martinez L.,0,0,,,04/25/2021
Futures 2021,Lagasio M.,Kirci K.,0,0,,,04/25/2021
Futures 2021,Maggioli E.,Andaloro F.,0,0,,,04/25/2021
Futures 2021,Chaiyarin C.,Terziev S.,0,0,,,04/25/2021
Futures 2021,Siniakov D.,Tomescu D.,0,0,,,04/25/2021
Futures 2021,Sinclair C.,Saban B.,0,0,,,04/25/2021
Futures 2021,Dell'elba V.,Prihoda J.,0,0,,,04/25/2021
Futures 2021,Erhard M.,Bosio G.,0,0,,,04/25/2021
Futures 2021,Klok D.,Ivanov V.,0,0,,,04/25/2021
Futures 2021,Peters F.,Mares V.,0,0,,,04/25/2021
Futures 2021,Rossi M.,Corbinais S.,0,0,,,04/25/2021
Futures 2021,Chepelev A.,Graf D.,0,0,,,04/25/2021
Futures 2021,Dellavedova M.,Cohen E.,0,0,,,04/25/2021
Futures 2021,Bilgin B.,Ponce De Leon Gomila M.,0,0,,,04/25/2021
Futures 2021,Dogan M.,Aksu C.,0,0,,,04/25/2021
Futures 2021,Vernier M.,Zima L.,0,0,,,04/25/2021
Futures 2021,Beauge M.,Sakellaridis S.,0,0,,,04/25/2021
Futures 2021,Savelev D.,Dossetter C.,0,0,,,04/25/2021
Futures 2021,Maestrelli F.,Kim C.,0,0,,,04/25/2021
Futures 2021,Frunza N.,Gramaticopolo B.,0,0,,,04/25/2021
Futures 2021,Gadamauri B.,Balci O.,0,0,,,04/25/2021
Futures 2021,Pucalka J.,Salazar A.,0,0,,,04/25/2021
Futures 2021,Ginat R.,Noce G.,0,0,,,04/25/2021
Futures 2021,Woerner P.,Melnic V.,0,0,,,04/25/2021
Futures 2021,Sada I.,Poritzky E.,0,0,,,04/25/2021
Futures 2021,Parshutin D.,Link J.,0,0,,,04/25/2021
Futures 2021,Saitoh K.,Glinka D.,0,0,,,04/25/2021
Futures 2021,Ferrari M.,Korolev V.,0,0,,,04/25/2021
Futures 2021,Ovcharenko O.,Sveridenko V.,,,2,0,04/25/2021
Futures 2021,Yamanaka T.,Hopp M.,,,2,0,04/25/2021
Futures 2021,Laurent Y.,Catani L.,0,0,,,04/25/2021
Futures 2021,Poutis S.,Elkamony A.,0,0,,,04/25/2021
Futures 2021,Mania M.,Ribeiro E.,0,0,,,04/25/2021
Futures 2021,Khotkov O.,Alabdullah B.,0,0,,,04/25/2021
Futures 2021,Abd Hazli I.,Cigarran T.,0,0,,,04/25/2021
Futures 2021,Petrovic L.,Sigurdsson E.,0,0,,,04/25/2021
Futures 2021,Magnusson A.,Rosales R.,0,0,,,04/25/2021
Futures 2021,Tanner G.,Zhibul D.,,,2,0,04/25/2021
Futures 2021,Fellin M.,Clark M.,,,2,0,04/25/2021
Futures 2021,Kawakami R.,Vianello M.,,,2,0,04/25/2021
Futures 2021,Syed Naguib S.,Chin C.,,,2,1,04/25/2021
Futures 2021,Lavagno E.,Mubarak A.,,,2,0,04/25/2021
Futures 2021,Kaufmann H.,Alshati A.,,,2,0,04/25/2021
Futures 2021,Sadaoui M.,Gobat A.,,,2,1,04/25/2021
Futures 2021,Vasiliauskas M.,Omar Z.,,,2,0,04/25/2021
Futures 2021,Ricca G.,Heaney-Secord C.,,,2,0,04/25/2021
Futures 2021,Bouquier A.,Kos D.,,,2,0,04/25/2021
Futures 2021,Pietri B.,Shvets V.,,,2,0,04/25/2021
Futures 2021,Marmousez L.,Perez Martin I.,,,2,0,04/25/2021
Futures 2021,Maassen G.,De Carvalho V.,,,2,0,04/25/2021
Futures 2021,Takamisawa T.,Maguire C.,,,2,0,04/25/2021
Futures 2021,Wendelken H.,Mishkin K.,,,2,0,04/25/2021
Futures 2021,Bertola R.,Janis J.,,,2,0,04/25/2021
Futures 2021,Hodkin S.,Oueslati M.,,,2,0,04/25/2021
Futures 2021,O'Hoisin O.,Cherkovets V.,,,2,0,04/25/2021
Futures 2021,Andreu Garcia F.,Giersiepen Garcia M.,,,2,0,04/25/2021
Futures 2021,Bresciani L.,Guerrieri A.,,,2,1,04/25/2021
Futures 2021,Jovic V.,Arribage T.,,,2,1,04/25/2021
Futures 2021,Alosha Ushakov N.,Martinez Arjona S.,,,2,1,04/25/2021
Futures 2021,Kravchenko P.,Zakaryia F.,0,0,,,04/25/2021
Futures 2021,Barr E.,Vilicich B.,0,0,,,04/25/2021
Futures 2021,Emesz B.,Stuurman R.,0,0,,,04/25/2021
Futures 2021,Gill F.,Pecorella A.,0,0,,,04/25/2021
Futures 2021,Pereira J.,Garcia Mestre J.,0,0,,,04/25/2021
Futures 2021,Penzlin J.,O'Neill D.,,,2,0,04/25/2021
Futures 2021,Datei G.,Pennaforti G.,,,2,0,04/25/2021
Futures 2021,Costa H.,Sierra Malinowska A.,0,0,,,04/25/2021
Futures 2021,Lapalu V.,Delage P.,0,0,,,04/25/2021
Futures 2021,Loffhagen G.,Quesada Perez T.,0,0,,,04/25/2021
Futures 2021,Antonio Morales M.,Echevarri J.,0,0,,,04/25/2021
Futures 2021,Deschamps A.,Segura Onichtchenko A.,,,2,0,04/25/2021
Futures 2021,Mitsui S.,Ichikawa S.,,,2,0,04/25/2021
Futures 2021,Deleersnyder C.,Franzini M.,,,2,0,04/25/2021
Futures 2021,Svajda Z.,Pecci A.,,,2,0,04/25/2021
