tournament,1. round prize,1. round points,2. round prize,2. round points,3. round prize,3. rount points,round of 16 prize,round of 16 points,quarterfinal prize,quarterfinal points,semifinal prize,semifinal points,final prize,final points,winner prize,winner points
Monte Carlo,,,,,,,,,,,,,,,,
Belgrade chall.,,,,,,,,,,,,,,,,
Orlando challenger,,,,,,,,,,,,,,,,
Split 3 challenger,,,,,,,,,,,,,,,,
Cagliari,5275,0,,,,,8770,20,13650,45,20465,90,28750,150,40100,250
Marbella,3895,0,,,,,5460,20,7995,45,11695,90,15595,150,21105,250
Split challenger,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Oeiras 2 chall.,320,0,,,,,530,4,900,7,1550,15,2640,30,4400,50
Marbella chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Oeiras challenger,320,0,,,,,530,4,900,7,1550,15,2600,30,4400,50
UTR Pro Tennis Series 5,,,,,,,,,,,,,,,,
UTR Pro Tennis Series 2,,,,,,,,,,,,,,,,
Miami,10000,10,16000,25,26000,45,40000,90,61000,180,93000,360,165000,600,300110,1000
Lille challenger,660,0,,,,,1100,8,1850,17,3250,33,5400,55,9200,90
Lugano challenger,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Zadar challenger,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Acapulco,11460,0,,,,,19925,45,31880,90,46830,180,65760,300,88940,500
Cleveland chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Santiago chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Biella 5 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Dubai,13300,0,19260,20,,,33495,45,53590,90,78710,180,110530,300,149490,500
Doha,11270,0,,,,,16780,20,25045,45,36940,90,51340,150,69520,250
Marseille,5100,0,,,,,7140,20,10450,45,15300,90,20400,150,27615,250
Santiago,6030,0,,,,,9600,20,15250,45,22800,90,32615,150,45000,250
St. Petersburg 2 chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Biella 4 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Rotterdam,11500,0,,,,,20000,45,32000,90,47000,180,66000,300,89265,500
Buenos Aires,4505,0,,,,,6310,20,9240,45,13510,90,18030,150,24400,250
Nur-Sultan 2 chall.,1560,0,,,,,2580,10,4380,25,7530,45,12720,75,21600,125
Gran Canaria 2 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
St. Petersburg chall.,375,0,,,,,620,4,1050,7,1800,15,3050,30,5150,50
UK Pro Series,,,,,,,,,,,,,,,,
Cordoba,4025,0,,,,,5640,20,8255,45,12080,90,16100,150,21800,250
Singapore,4575,0,,,,,6410,20,9385,45,13730,90,18310,150,24770,250
Montpellier,4000,0,,,,,5500,20,8200,45,12000,90,16000,150,21655,250
Nur-Sultan chall.,1040,0,,,,,1720,8,2920,18,5020,35,8480,60,14400,100
Gran Canaria chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Biella 3 chall.,1320,0,,,,,2180,10,3710,25,6370,45,10770,75,18290,125
Concepcion chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Potchefstroom 2 chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Australian Open,77000,10,115500,45,165550,90,246400,80,404250,360,654500,720,1155000,1200,2117500,2000
Cherbourg chall.,885,0,,,,,1460,8,2480,18,4260,35,7200,60,12250,100
Potchefstroom chall.,520,0,,,,,860,7,1460,15,2510,29,4240,48,7200,80
Biella 2 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
ATP Cup,,,,,,,,,,,,,,,,
Great Ocean Road Open,2500,0,4000,10,,,5500,20,7400,45,10000,90,13255,150,19500,250
Murray River Open (Melbourne),2500,0,4000,10,,,5500,20,7400,45,10000,90,13255,150,19500,250
Antalya 2 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Quimper 2 chall.,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
A Day at the Drive (Adelaide),,,,,,,,,,,,,,,,
Antalya challenger,450,0,,,,,730,7,1260,15,2160,29,3650,48,6190,80
Quimper challenger,885,0,,,,,1460,8,2480,18,4260,35,7200,60,12250,100
UTR Pro Tennis Series 4,,,,,,,,,,,,,,,,
Istanbul chall.,1320,0,,,,,2180,10,3710,25,6370,45,10770,75,18290,125
UTR Pro Tennis Series,,,,,,,,,,,,,,,,
UTR Pro Match Series,,,,,,,,,,,,,,,,
Delray Beach,5000,0,,,,,7445,20,11110,45,16390,90,22780,150,30840,250
Antalya 2,3200,0,,,,,5700,20,9700,45,14000,90,2000,150,27960,250
Delray Beach - seniors,,,,,,,,,,,,,,,,
